,application_received,application_year,council_district,address,city,zip,units_withdrawn,replacement_unit,yearbuilt,units,sqftmain,center_lat,center_lon,geometry
5402001004,5/16/17,2017,13,1131 N BENTON WAY,LOS ANGELES ,90026.0,3,0.0,1922.0,3.0,3010.0,34.08159986,-118.27003336,POINT (-13165759.88973868 4039764.163475073)
5402001031,11/19/20,2020,13,2906 W RESERVOIR ST,LOS ANGELES ,90026.0,2,0.0,1920.0,2.0,1395.0,34.08271821,-118.27175293,POINT (-13165951.31139546 4039914.47609448)
5402003012,11/4/20,2020,13,870 N LA FAYETTE PARK PL,LOS ANGELES ,90026.0,4,0.0,1909.0,4.0,2958.0,34.0807656,-118.27142279,POINT (-13165914.56037877 4039652.035464913)
5402003025,9/23/14,2014,13,901 N BENTON WAY,Los Angeles ,90026.0,2,0.0,1917.0,2.0,2006.0,34.07933496,-118.27194904,POINT (-13165973.1422608 4039459.754076157)
5402004025,12/16/09,2009,13,2710 W MARATHON ST,Los Angeles ,90026.0,4,0.0,1928.0,4.0,2424.0,34.07911989,-118.27234373,POINT (-13166017.07895062 4039430.848441978)
5402006030,9/22/16,2016,13,656 N OCCIDENTAL BLVD,LOS ANGELES ,90026.0,2,0.0,1922.0,2.0,1788.0,34.07825741,-118.27455892,POINT (-13166263.67277343 4039314.93096036)
5402010011,1/7/15,2015,13,636 N RAMPART BLVD,LOS ANGELES ,90026.0,2,3.0,95.0,2.0,1000.0,34.07637103,-118.27181191,POINT (-13165957.87701903 4039061.405231582)
5402013001,6/3/19,2019,13,904 N BENTON WAY,LOS ANGELES ,90026.0,3,0.0,1910.0,3.0,3088.0,34.07908053,-118.27142521,POINT (-13165914.82977194 4039425.55842453)
5402013025,8/27/14,2014,13,1001 N RAMPART BLVD,Los Angeles ,90026.0,2,0.0,1922.0,2.0,1510.0,34.07881115,-118.27089447,POINT (-13165855.7480654 4039389.353589608)
5402014020,1/7/20,2020,13,1033 N CORONADO ST,LOS ANGELES ,90026.0,3,0.0,1911.0,3.0,2596.0,34.07916044,-118.26959561,POINT (-13165711.15963158 4039436.298399006)
5402021001,8/28/14,2014,13,852 N CORONADO ST,Los Angeles ,90026.0,2,0.0,1905.0,0.0,1236.0,34.07788105,-118.26961071,POINT (-13165712.84055589 4039264.348472286)
5402021002,3/8/16,2016,13,846 N CORONADO ST,LOS ANGELES ,90026.0,4,0.0,1908.0,4.0,1928.0,34.07774718,-118.26969146,POINT (-13165721.82960478 4039246.356503739)
5402027026,6/3/14,2014,13,813 N ROSEMONT AVE,Los Angeles ,90026.0,2,0.0,1947.0,2.0,1996.0,34.07570522,-118.26731169,POINT (-13165456.91482017 4038971.923036939)
5402032012,8/6/18,2018,13,2237 W ELSINORE ST,LOS ANGELES ,90026.0,2,0.0,1921.0,2.0,1528.0,34.07954724,-118.26601836,POINT (-13165312.94198314 4039488.284803385)
